rsid,gene,trait,impact
rs3000080,GENE80,Aging Trait 80,Impact 80
rs3000081,GENE81,Aging Trait 81,Impact 81
rs3000082,GENE82,Aging Trait 82,Impact 82
rs3000083,GENE83,Aging Trait 83,Impact 83
rs3000084,GENE84,Aging Trait 84,Impact 84
rs3000085,GENE85,Aging Trait 85,Impact 85
rs3000086,GENE86,Aging Trait 86,Impact 86
rs3000087,GENE87,Aging Trait 87,Impact 87
rs3000088,GENE88,Aging Trait 88,Impact 88
rs3000089,GENE89,Aging Trait 89,Impact 89
rs3000090,GENE90,Aging Trait 90,Impact 90
rs3000091,GENE91,Aging Trait 91,Impact 91
rs3000092,GENE92,Aging Trait 92,Impact 92
rs3000093,GENE93,Aging Trait 93,Impact 93
rs3000094,GENE94,Aging Trait 94,Impact 94
rs3000095,GENE95,Aging Trait 95,Impact 95
rs3000096,GENE96,Aging Trait 96,Impact 96
rs3000097,GENE97,Aging Trait 97,Impact 97
rs3000098,GENE98,Aging Trait 98,Impact 98
rs3000099,GENE99,Aging Trait 99,Impact 99
rs3000100,GENE100,Aging Trait 100,Impact 100
rs3000101,GENE101,Aging Trait 101,Impact 101
rs3000102,GENE102,Aging Trait 102,Impact 102
rs3000103,GENE103,Aging Trait 103,Impact 103
rs3000104,GENE104,Aging Trait 104,Impact 104
rs3000105,GENE105,Aging Trait 105,Impact 105
rs3000106,GENE106,Aging Trait 106,Impact 106
rs3000107,GENE107,Aging Trait 107,Impact 107
rs3000108,GENE108,Aging Trait 108,Impact 108
rs3000109,GENE109,Aging Trait 109,Impact 109
rs3000110,GENE110,Aging Trait 110,Impact 110
rs3000111,GENE111,Aging Trait 111,Impact 111
rs3000112,GENE112,Aging Trait 112,Impact 112
rs3000113,GENE113,Aging Trait 113,Impact 113
rs3000114,GENE114,Aging Trait 114,Impact 114
rs3000115,GENE115,Aging Trait 115,Impact 115
rs3000116,GENE116,Aging Trait 116,Impact 116
rs3000117,GENE117,Aging Trait 117,Impact 117
rs3000118,GENE118,Aging Trait 118,Impact 118
rs3000119,GENE119,Aging Trait 119,Impact 119
rs3000120,GENE120,Aging Trait 120,Impact 120
rs3000121,GENE121,Aging Trait 121,Impact 121
rs3000122,GENE122,Aging Trait 122,Impact 122
rs3000123,GENE123,Aging Trait 123,Impact 123
rs3000124,GENE124,Aging Trait 124,Impact 124
rs3000125,GENE125,Aging Trait 125,Impact 125
rs3000126,GENE126,Aging Trait 126,Impact 126
rs3000127,GENE127,Aging Trait 127,Impact 127
rs3000128,GENE128,Aging Trait 128,Impact 128
rs3000129,GENE129,Aging Trait 129,Impact 129
rs3000130,GENE130,Aging Trait 130,Impact 130
rs3000131,GENE131,Aging Trait 131,Impact 131
rs3000132,GENE132,Aging Trait 132,Impact 132
rs3000133,GENE133,Aging Trait 133,Impact 133
rs3000134,GENE134,Aging Trait 134,Impact 134
rs3000135,GENE135,Aging Trait 135,Impact 135
rs3000136,GENE136,Aging Trait 136,Impact 136
rs3000137,GENE137,Aging Trait 137,Impact 137
rs3000138,GENE138,Aging Trait 138,Impact 138
rs3000139,GENE139,Aging Trait 139,Impact 139
rs3000140,GENE140,Aging Trait 140,Impact 140
rs3000141,GENE141,Aging Trait 141,Impact 141
rs3000142,GENE142,Aging Trait 142,Impact 142
rs3000143,GENE143,Aging Trait 143,Impact 143
rs3000144,GENE144,Aging Trait 144,Impact 144
rs3000145,GENE145,Aging Trait 145,Impact 145
rs3000146,GENE146,Aging Trait 146,Impact 146
rs3000147,GENE147,Aging Trait 147,Impact 147
rs3000148,GENE148,Aging Trait 148,Impact 148
rs3000149,GENE149,Aging Trait 149,Impact 149
rs3000150,GENE150,Aging Trait 150,Impact 150
rs3000151,GENE151,Aging Trait 151,Impact 151
rs3000152,GENE152,Aging Trait 152,Impact 152
rs3000153,GENE153,Aging Trait 153,Impact 153
rs3000154,GENE154,Aging Trait 154,Impact 154
rs3000155,GENE155,Aging Trait 155,Impact 155
rs3000156,GENE156,Aging Trait 156,Impact 156
rs3000157,GENE157,Aging Trait 157,Impact 157
rs3000158,GENE158,Aging Trait 158,Impact 158
rs3000159,GENE159,Aging Trait 159,Impact 159
rs3000160,GENE160,Aging Trait 160,Impact 160
rs3000161,GENE161,Aging Trait 161,Impact 161
rs3000162,GENE162,Aging Trait 162,Impact 162
rs3000163,GENE163,Aging Trait 163,Impact 163
rs3000164,GENE164,Aging Trait 164,Impact 164
rs3000165,GENE165,Aging Trait 165,Impact 165
rs3000166,GENE166,Aging Trait 166,Impact 166
rs3000167,GENE167,Aging Trait 167,Impact 167
rs3000168,GENE168,Aging Trait 168,Impact 168
rs3000169,GENE169,Aging Trait 169,Impact 169
rs3000170,GENE170,Aging Trait 170,Impact 170
rs3000171,GENE171,Aging Trait 171,Impact 171
rs3000172,GENE172,Aging Trait 172,Impact 172
rs3000173,GENE173,Aging Trait 173,Impact 173
rs3000174,GENE174,Aging Trait 174,Impact 174
rs3000175,GENE175,Aging Trait 175,Impact 175
rs3000176,GENE176,Aging Trait 176,Impact 176
rs3000177,GENE177,Aging Trait 177,Impact 177
rs3000178,GENE178,Aging Trait 178,Impact 178
rs3000179,GENE179,Aging Trait 179,Impact 179
rs3000180,GENE180,Aging Trait 180,Impact 180
rs3000181,GENE181,Aging Trait 181,Impact 181
rs3000182,GENE182,Aging Trait 182,Impact 182
rs3000183,GENE183,Aging Trait 183,Impact 183
rs3000184,GENE184,Aging Trait 184,Impact 184
rs3000185,GENE185,Aging Trait 185,Impact 185
rs3000186,GENE186,Aging Trait 186,Impact 186
rs3000187,GENE187,Aging Trait 187,Impact 187
rs3000188,GENE188,Aging Trait 188,Impact 188
rs3000189,GENE189,Aging Trait 189,Impact 189
rs3000190,GENE190,Aging Trait 190,Impact 190
rs3000191,GENE191,Aging Trait 191,Impact 191
rs3000192,GENE192,Aging Trait 192,Impact 192
rs3000193,GENE193,Aging Trait 193,Impact 193
rs3000194,GENE194,Aging Trait 194,Impact 194
rs3000195,GENE195,Aging Trait 195,Impact 195
rs3000196,GENE196,Aging Trait 196,Impact 196
rs3000197,GENE197,Aging Trait 197,Impact 197
rs3000198,GENE198,Aging Trait 198,Impact 198
rs3000199,GENE199,Aging Trait 199,Impact 199
rs3000200,GENE200,Aging Trait 200,Impact 200
