rsid,gene,trait,impact
rs3000097,GENE97,Ancestry Trait 97,Impact 97
rs3000098,GENE98,Ancestry Trait 98,Impact 98
rs3000099,GENE99,Ancestry Trait 99,Impact 99
rs3000100,GENE100,Ancestry Trait 100,Impact 100
rs3000101,GENE101,Ancestry Trait 101,Impact 101
rs3000102,GENE102,Ancestry Trait 102,Impact 102
rs3000103,GENE103,Ancestry Trait 103,Impact 103
rs3000104,GENE104,Ancestry Trait 104,Impact 104
rs3000105,GENE105,Ancestry Trait 105,Impact 105
rs3000106,GENE106,Ancestry Trait 106,Impact 106
rs3000107,GENE107,Ancestry Trait 107,Impact 107
rs3000108,GENE108,Ancestry Trait 108,Impact 108
rs3000109,GENE109,Ancestry Trait 109,Impact 109
rs3000110,GENE110,Ancestry Trait 110,Impact 110
rs3000111,GENE111,Ancestry Trait 111,Impact 111
rs3000112,GENE112,Ancestry Trait 112,Impact 112
rs3000113,GENE113,Ancestry Trait 113,Impact 113
rs3000114,GENE114,Ancestry Trait 114,Impact 114
rs3000115,GENE115,Ancestry Trait 115,Impact 115
rs3000116,GENE116,Ancestry Trait 116,Impact 116
rs3000117,GENE117,Ancestry Trait 117,Impact 117
rs3000118,GENE118,Ancestry Trait 118,Impact 118
rs3000119,GENE119,Ancestry Trait 119,Impact 119
rs3000120,GENE120,Ancestry Trait 120,Impact 120
rs3000121,GENE121,Ancestry Trait 121,Impact 121
rs3000122,GENE122,Ancestry Trait 122,Impact 122
rs3000123,GENE123,Ancestry Trait 123,Impact 123
rs3000124,GENE124,Ancestry Trait 124,Impact 124
rs3000125,GENE125,Ancestry Trait 125,Impact 125
rs3000126,GENE126,Ancestry Trait 126,Impact 126
rs3000127,GENE127,Ancestry Trait 127,Impact 127
rs3000128,GENE128,Ancestry Trait 128,Impact 128
rs3000129,GENE129,Ancestry Trait 129,Impact 129
rs3000130,GENE130,Ancestry Trait 130,Impact 130
rs3000131,GENE131,Ancestry Trait 131,Impact 131
rs3000132,GENE132,Ancestry Trait 132,Impact 132
rs3000133,GENE133,Ancestry Trait 133,Impact 133
rs3000134,GENE134,Ancestry Trait 134,Impact 134
rs3000135,GENE135,Ancestry Trait 135,Impact 135
rs3000136,GENE136,Ancestry Trait 136,Impact 136
rs3000137,GENE137,Ancestry Trait 137,Impact 137
rs3000138,GENE138,Ancestry Trait 138,Impact 138
rs3000139,GENE139,Ancestry Trait 139,Impact 139
rs3000140,GENE140,Ancestry Trait 140,Impact 140
rs3000141,GENE141,Ancestry Trait 141,Impact 141
rs3000142,GENE142,Ancestry Trait 142,Impact 142
rs3000143,GENE143,Ancestry Trait 143,Impact 143
rs3000144,GENE144,Ancestry Trait 144,Impact 144
rs3000145,GENE145,Ancestry Trait 145,Impact 145
rs3000146,GENE146,Ancestry Trait 146,Impact 146
rs3000147,GENE147,Ancestry Trait 147,Impact 147
rs3000148,GENE148,Ancestry Trait 148,Impact 148
rs3000149,GENE149,Ancestry Trait 149,Impact 149
rs3000150,GENE150,Ancestry Trait 150,Impact 150
rs3000151,GENE151,Ancestry Trait 151,Impact 151
rs3000152,GENE152,Ancestry Trait 152,Impact 152
rs3000153,GENE153,Ancestry Trait 153,Impact 153
rs3000154,GENE154,Ancestry Trait 154,Impact 154
rs3000155,GENE155,Ancestry Trait 155,Impact 155
rs3000156,GENE156,Ancestry Trait 156,Impact 156
rs3000157,GENE157,Ancestry Trait 157,Impact 157
rs3000158,GENE158,Ancestry Trait 158,Impact 158
rs3000159,GENE159,Ancestry Trait 159,Impact 159
rs3000160,GENE160,Ancestry Trait 160,Impact 160
rs3000161,GENE161,Ancestry Trait 161,Impact 161
rs3000162,GENE162,Ancestry Trait 162,Impact 162
rs3000163,GENE163,Ancestry Trait 163,Impact 163
rs3000164,GENE164,Ancestry Trait 164,Impact 164
rs3000165,GENE165,Ancestry Trait 165,Impact 165
rs3000166,GENE166,Ancestry Trait 166,Impact 166
rs3000167,GENE167,Ancestry Trait 167,Impact 167
rs3000168,GENE168,Ancestry Trait 168,Impact 168
rs3000169,GENE169,Ancestry Trait 169,Impact 169
rs3000170,GENE170,Ancestry Trait 170,Impact 170
rs3000171,GENE171,Ancestry Trait 171,Impact 171
rs3000172,GENE172,Ancestry Trait 172,Impact 172
rs3000173,GENE173,Ancestry Trait 173,Impact 173
rs3000174,GENE174,Ancestry Trait 174,Impact 174
rs3000175,GENE175,Ancestry Trait 175,Impact 175
rs3000176,GENE176,Ancestry Trait 176,Impact 176
rs3000177,GENE177,Ancestry Trait 177,Impact 177
rs3000178,GENE178,Ancestry Trait 178,Impact 178
rs3000179,GENE179,Ancestry Trait 179,Impact 179
rs3000180,GENE180,Ancestry Trait 180,Impact 180
rs3000181,GENE181,Ancestry Trait 181,Impact 181
rs3000182,GENE182,Ancestry Trait 182,Impact 182
rs3000183,GENE183,Ancestry Trait 183,Impact 183
rs3000184,GENE184,Ancestry Trait 184,Impact 184
rs3000185,GENE185,Ancestry Trait 185,Impact 185
rs3000186,GENE186,Ancestry Trait 186,Impact 186
rs3000187,GENE187,Ancestry Trait 187,Impact 187
rs3000188,GENE188,Ancestry Trait 188,Impact 188
rs3000189,GENE189,Ancestry Trait 189,Impact 189
rs3000190,GENE190,Ancestry Trait 190,Impact 190
rs3000191,GENE191,Ancestry Trait 191,Impact 191
rs3000192,GENE192,Ancestry Trait 192,Impact 192
rs3000193,GENE193,Ancestry Trait 193,Impact 193
rs3000194,GENE194,Ancestry Trait 194,Impact 194
rs3000195,GENE195,Ancestry Trait 195,Impact 195
rs3000196,GENE196,Ancestry Trait 196,Impact 196
rs3000197,GENE197,Ancestry Trait 197,Impact 197
rs3000198,GENE198,Ancestry Trait 198,Impact 198
rs3000199,GENE199,Ancestry Trait 199,Impact 199
rs3000200,GENE200,Ancestry Trait 200,Impact 200
