rsid,gene,trait,impact
rs356168,SNCA,Parkinson’s Disease,Alpha-synuclein regulation
rs2030324,GRIK2,Cognition,Glutamate ionotropic receptor
rs13212041,HTR1B,Impulsivity,Dopamine-serotonin modulation
rs12913832,OCA2,Eye-brain development,Cognitive-visual link
rs521674,HTR2A,SSRI side effects,Pharmacogenetic sensitivity
rs2228570,VDR,Cognition & aging,Vitamin D receptor and neurofunction
rs2236225,MTHFD1,Neurodevelopment,One-carbon metabolism
rs1801394,MTRR,Brain methylation,Neurodevelopmental function
rs1255998,OPRM1,Addiction vulnerability,Mu-opioid receptor
rs6269,COMT,Prefrontal dopamine,Working memory efficiency
rs2070762,GABRA4,Autism and anxiety,Inhibitory neurotransmitter
rs6311,HTR2A,Depression and SSRI response,5-HT2A receptor sensitivity
rs2439272,CACNB2,Bipolar and cardiac overlap,Calcium channel function
rs7982,SNAP25,Schizophrenia,Ca2+-dependent neurotransmitter release
rs7597593,GRIN3B,Cognition,Memory and executive function
rs1142523,GAD1,GABA synthesis,Neural inhibition efficiency
rs1129649,GABRA6,Anxiety and stress,Receptor subtype modulation
rs7048425,NPY,Appetite and anxiety,Stress response peptide
rs6313,HTR2A,Serotonergic cognition,Cognitive emotional regulation
rs6296,HTR1B,Aggression and risk,Serotonin regulation in PFC
rs2296972,DRD1,Cognitive effort,Attention modulation
rs10770141,TYR,Neurodevelopment,Melanin/dopamine pathway
rs1076560,DRD2,Cognitive flexibility,Reward prediction error
rs10994336,ANK3,Bipolar disorder,Node of Ranvier and excitability
rs3792452,NOS1,Neurotransmitter synthesis,Brain nitric oxide signaling
rs1360780,FKBP5,Stress regulation,Early trauma sensitivity
rs1378810,PLCB1,Neurodevelopment,Signal transduction in brain
rs2710102,CNTNAP2,Language acquisition,Neuronal connectivity
rs7859271,PTPRG,Autism and ADHD,Cell adhesion and synapse function
rs10897284,SRR,Glutamate conversion,Schizophrenia risk
rs1018381,DISC1,Neurodevelopment,Dysregulation in schizophrenia
rs7766029,CHRNA4,Nicotine and memory,Receptor binding affinity
rs2234693,ESR1,Hormonal neuroprotection,Cognitive resilience
rs17782313,MC4R,Obesity-linked cognition,Energy balance and memory
rs11603044,DLG4,Synaptic scaffolding,Plasticity and behavior
rs1869458,HTR3A,SSRI side effects,Nausea modulation
rs3778150,CNTNAP2,Neural circuitry,Autism and epilepsy
rs1076560,DRD2,D2 receptor isoform,Cognitive task modulation
rs1799913,MAOB,Dopaminergic control,Neurotransmitter clearance
rs1042778,OXTR,Social anxiety,Oxytocin receptor density
rs1447295,AR,Neuroendocrine interaction,Sex differences in risk
rs4916723,CHRNA3,Nicotine dependence,Cognitive disinhibition
rs3813714,SNAP25,Memory encoding,Neurotransmitter release speed
rs26907,NR4A2,Dopaminergic neuron fate,Parkinson’s risk
rs3782219,RELN,Autism and cognition,Reelin signal modulation
rs2814707,SLC6A4,Depression,Serotonin transporter polymorphism
rs4657412,NRXN1,Neuronal connectivity,Language and memory
rs4880,SOD2,Neuroprotection,Oxidative stress resistance
rs6265,BDNF,Neural growth,Response to exercise and cognition
---
