rsid,gene,trait,impact
rs3000128,GENE128,Cardio Trait 128,Impact 128
rs3000129,GENE129,Cardio Trait 129,Impact 129
rs3000130,GENE130,Cardio Trait 130,Impact 130
rs3000131,GENE131,Cardio Trait 131,Impact 131
rs3000132,GENE132,Cardio Trait 132,Impact 132
rs3000133,GENE133,Cardio Trait 133,Impact 133
rs3000134,GENE134,Cardio Trait 134,Impact 134
rs3000135,GENE135,Cardio Trait 135,Impact 135
rs3000136,GENE136,Cardio Trait 136,Impact 136
rs3000137,GENE137,Cardio Trait 137,Impact 137
rs3000138,GENE138,Cardio Trait 138,Impact 138
rs3000139,GENE139,Cardio Trait 139,Impact 139
rs3000140,GENE140,Cardio Trait 140,Impact 140
rs3000141,GENE141,Cardio Trait 141,Impact 141
rs3000142,GENE142,Cardio Trait 142,Impact 142
rs3000143,GENE143,Cardio Trait 143,Impact 143
rs3000144,GENE144,Cardio Trait 144,Impact 144
rs3000145,GENE145,Cardio Trait 145,Impact 145
rs3000146,GENE146,Cardio Trait 146,Impact 146
rs3000147,GENE147,Cardio Trait 147,Impact 147
rs3000148,GENE148,Cardio Trait 148,Impact 148
rs3000149,GENE149,Cardio Trait 149,Impact 149
rs3000150,GENE150,Cardio Trait 150,Impact 150
rs3000151,GENE151,Cardio Trait 151,Impact 151
rs3000152,GENE152,Cardio Trait 152,Impact 152
rs3000153,GENE153,Cardio Trait 153,Impact 153
rs3000154,GENE154,Cardio Trait 154,Impact 154
rs3000155,GENE155,Cardio Trait 155,Impact 155
rs3000156,GENE156,Cardio Trait 156,Impact 156
rs3000157,GENE157,Cardio Trait 157,Impact 157
rs3000158,GENE158,Cardio Trait 158,Impact 158
rs3000159,GENE159,Cardio Trait 159,Impact 159
rs3000160,GENE160,Cardio Trait 160,Impact 160
rs3000161,GENE161,Cardio Trait 161,Impact 161
rs3000162,GENE162,Cardio Trait 162,Impact 162
rs3000163,GENE163,Cardio Trait 163,Impact 163
rs3000164,GENE164,Cardio Trait 164,Impact 164
rs3000165,GENE165,Cardio Trait 165,Impact 165
rs3000166,GENE166,Cardio Trait 166,Impact 166
rs3000167,GENE167,Cardio Trait 167,Impact 167
rs3000168,GENE168,Cardio Trait 168,Impact 168
rs3000169,GENE169,Cardio Trait 169,Impact 169
rs3000170,GENE170,Cardio Trait 170,Impact 170
rs3000171,GENE171,Cardio Trait 171,Impact 171
rs3000172,GENE172,Cardio Trait 172,Impact 172
rs3000173,GENE173,Cardio Trait 173,Impact 173
rs3000174,GENE174,Cardio Trait 174,Impact 174
rs3000175,GENE175,Cardio Trait 175,Impact 175
rs3000176,GENE176,Cardio Trait 176,Impact 176
rs3000177,GENE177,Cardio Trait 177,Impact 177
rs3000178,GENE178,Cardio Trait 178,Impact 178
rs3000179,GENE179,Cardio Trait 179,Impact 179
rs3000180,GENE180,Cardio Trait 180,Impact 180
rs3000181,GENE181,Cardio Trait 181,Impact 181
rs3000182,GENE182,Cardio Trait 182,Impact 182
rs3000183,GENE183,Cardio Trait 183,Impact 183
rs3000184,GENE184,Cardio Trait 184,Impact 184
rs3000185,GENE185,Cardio Trait 185,Impact 185
rs3000186,GENE186,Cardio Trait 186,Impact 186
rs3000187,GENE187,Cardio Trait 187,Impact 187
rs3000188,GENE188,Cardio Trait 188,Impact 188
rs3000189,GENE189,Cardio Trait 189,Impact 189
rs3000190,GENE190,Cardio Trait 190,Impact 190
rs3000191,GENE191,Cardio Trait 191,Impact 191
rs3000192,GENE192,Cardio Trait 192,Impact 192
rs3000193,GENE193,Cardio Trait 193,Impact 193
rs3000194,GENE194,Cardio Trait 194,Impact 194
rs3000195,GENE195,Cardio Trait 195,Impact 195
rs3000196,GENE196,Cardio Trait 196,Impact 196
rs3000197,GENE197,Cardio Trait 197,Impact 197
rs3000198,GENE198,Cardio Trait 198,Impact 198
rs3000199,GENE199,Cardio Trait 199,Impact 199
rs3000200,GENE200,Cardio Trait 200,Impact 200
