rsid,gene,trait,impact
rs1042711,ADRB3,Fat burning,Basal metabolic rate effect
rs3812316,GCKR,Triglycerides,Regulator of glucose metabolism
rs13107325,SLC39A8,Zinc transport,Nutrient-related inflammation
rs11172113,LGR4,Essential tremor/Nutrition,Possible link
rs1205,CRP,Inflammatory marker,Nutrient-responsive inflammation
rs1801133,MTHFR,Folate metabolism (repeat),Validated nutrient gene
rs662,CYP2D6,Drug/nutrient metabolism,Influences vitamin D activation
rs1042713,ADRB2,Energy expenditure,Diet-induced thermogenesis
rs2254298,OXTR,Appetite and oxytocin,Food intake control
rs4846049,ABCA1,Cholesterol transport,HDL impact
rs10246939,TRPV1,Spice response,Heat/pain signal
rs5400,SLC2A2,Fructose metabolism,Liver sugar processing
rs7799039,LEP,Leptin hormone,Satiety regulation
rs11045819,CYP2C19,Fat-soluble vitamin metabolism,Nutrient uptake
rs267738,HFE,Iron regulation,Dietary iron absorption
rs4713916,SOD3,Oxidative stress,Nutrient-dependent protection
rs3758391,SIRT1,Caloric restriction,Anti-aging nutrient sensing
rs1801253,ADRB1,Heart response,Caloric load impact
rs1799983,NOS3,Nitric oxide,Endothelial nutrient signaling
rs5882,CETP,Cholesterol response,Nutrient absorption effect
rs8192678,PPARGC1A,Fat metabolism,Mitochondrial nutrient use
rs5128,APOC3,Postprandial triglycerides,Meal response
rs2762939,BCMO1,Vitamin A conversion,Plant source utilization
rs11568818,MMP7,Matrix regulation,Nutrient inflammation
rs1801282,PPARG,Insulin signaling,Dietary fat response
rs1256031,HSD17B13,Liver protection,Nutrient-linked function
rs7412,APOE,Lipid metabolism,Response to dietary fat
rs429358,APOE,Lipid metabolism,Heart and nutrient impact
rs662799,APOA5,Triglyceride sensitivity,High-fat meal response
rs1535,FADS2,PUFA conversion,Omega-6/3 regulation
rs2855262,GLUT2,Fructose transport,Sweet intake and diabetes
rs2794520,CRP,Inflammation marker,Nutritional inflammation
rs12521436,GLP1R,Glucose regulation,Sugar metabolism
rs1801133,MTHFR,Dietary folate,Reconfirmed SNP
rs1049353,CNR1,Appetite signaling,Endocannabinoid feedback
rs1208,NAT2,Caffeine metabolism,Acetylation capacity
rs662,CFH,Eye/nutrient link,AMD and lutein
rs1426654,SLC24A5,Melanin/Vitamin D,Sunlight nutrient interaction
rs1076991,PLIN1,Fat cell metabolism,Adiposity regulation
rs174548,FADS1,Omega fatty acid profile,Balancing dietary fats
rs1260326,GCKR,Triglyceride and glucose regulation
rs12306,SCD,Monounsaturated fat metabolism,Stearoyl-CoA activity
rs478588,SOD1,Superoxide dismutase,Nutrient-linked oxidative stress
rs6323,MAOA,Neurotransmitters/Nutrients,Vitamin B6 dependence
rs10774671,OAS1,Immune nutrient response,Viral + omega-3 interaction
rs651821,APOA5,Triglycerides,Hypertriglyceridemia risk
rs601338,FUT2,Secretor effect,B12 nutrient absorption
rs58542926,TM6SF2,Triglyceride storage,Response to dietary fat
rs713598,TAS2R38,Food sensitivity,Bitter taste variation
rs1535,FADS2,PUFA processing,Dietary balance response
rs2016520,PPARA,Lipid regulation,Diet-induced response
rs2740574,CYP3A4,Drug-food interaction,Metabolism efficiency
rs12255372,TCF7L2,Glucose regulation,Diet response
rs7903146,TCF7L2,Diabetes risk,Diet interaction
rs2167270,LEP,Leptin hormone,Appetite control
rs1042713,ADRB2,Energy regulation,Weight loss response
rs2234693,ESR1,Hormonal aging,Diet-linked inflammation
rs1042034,APOB,LDL levels,Fat response
rs10757278,9p21,Heart and diet,Nutrient-driven plaque risk
rs4988235,LCT,Lactase persistence,Dairy tolerance
rs599839,PSRC1,LDL metabolism,Nutritional impact
rs174556,FADS1,PUFA metabolism,Imbalance with high omega-6
rs1800206,PPARA,Fat burning,Dietary intake sensitivity
rs1229984,ADH1B,Alcohol and nutrient processing,Risk of liver stress
rs3764261,CETP,HDL function,Diet-induced cholesterol modulation
rs3812316,GCKR,Fat/glucose use,Caloric storage impact
rs320,CETP,Cholesterol transfer,Diet-dependent HDL levels
rs662,CFH,Antioxidant pathway,Link to eye nutrient protection
rs738409,PNPLA3,Triglyceride storage,Diet-liver relationship
rs3810291,FADS1,Omega-3 metabolism,Efficiency of DHA/EPA production
rs671,ALDH2,Alcohol metabolism,Diet and liver detox
rs1695,GSTP1,Detoxification,Nutrient antioxidant load
rs12913832,HERC2,Vitamin D activation,Sunlight-driven nutrient variation
rs1799945,HFE,Iron metabolism,Absorption response
rs1057910,CYP2C9,VK/Warfarin metabolism,Diet and pharmacogene overlap
---
